Country Name,Year,Average_Temperature_C,Ignore_This_Column
Germany,2026,1.7,garbage_data
Germany,2025,-9.99,garbage_data
Canada,2024,-1.62,garbage_data
Japan,2023,4.58,garbage_data
Senegal,2022,-8.4,garbage_data
Senegal,2021,17.7,garbage_data
Germany,2020,3.83,garbage_data
Germany,2019,25.02,garbage_data
Senegal,2018,36.52,garbage_data
Germany,2017,23.77,garbage_data
Canada,2016,-8.46,garbage_data
Senegal,2015,7.99,garbage_data
Canada,2014,34.09,garbage_data
Brazil,2013,21.87,garbage_data
Brazil,2012,27.59,garbage_data
Germany,2011,32.67,garbage_data
Senegal,2010,11.58,garbage_data
Senegal,2009,21.5,garbage_data
Brazil,2008,16.7,garbage_data
Senegal,2007,39.57,garbage_data
Germany,2006,3.96,garbage_data
Senegal,2005,5.67,garbage_data
Brazil,2004,-7.8,garbage_data
Senegal,2003,32.42,garbage_data
Japan,2002,34.87,garbage_data
Canada,2001,-6.38,garbage_data
Senegal,2000,27.43,garbage_data
Japan,1999,43.89,garbage_data
Japan,1998,2.17,garbage_data
Germany,1997,2.61,garbage_data
Japan,1996,20.49,garbage_data
Germany,1995,10.67,garbage_data
Senegal,1994,21.35,garbage_data
Canada,1993,41.17,garbage_data
Canada,1992,33.36,garbage_data
Canada,1991,32.96,garbage_data
Japan,1990,34.65,garbage_data
Germany,1989,-1.06,garbage_data
Germany,1988,-8.21,garbage_data
Japan,1987,-9.81,garbage_data
Brazil,1986,5.51,garbage_data
Senegal,1985,41.44,garbage_data
Germany,1984,20.32,garbage_data
Japan,1983,25.35,garbage_data
Germany,1982,-5.35,garbage_data
Senegal,1981,20.15,garbage_data
Japan,1980,31.38,garbage_data
Germany,1979,37.31,garbage_data
Japan,1978,-9.15,garbage_data
Germany,1977,32.1,garbage_data
Brazil,2026,32.63,garbage_data
Canada,2025,10.6,garbage_data
Brazil,2024,-9.54,garbage_data
Canada,2023,42.84,garbage_data
Canada,2022,15.69,garbage_data
Brazil,2021,42.52,garbage_data
Canada,2020,32.62,garbage_data
Brazil,2019,37.67,garbage_data
Brazil,2018,0.14,garbage_data
Japan,2017,19.73,garbage_data
Germany,2016,3.87,garbage_data
Japan,2015,-7.45,garbage_data
Japan,2014,13.03,garbage_data
Japan,2013,10.73,garbage_data
Japan,2012,26.97,garbage_data
Brazil,2011,43.09,garbage_data
Germany,2010,32.64,garbage_data
Brazil,2009,13.16,garbage_data
Germany,2008,1.94,garbage_data
Germany,2007,37.87,garbage_data
Germany,2006,41.56,garbage_data
Germany,2005,11.66,garbage_data
Canada,2004,7.98,garbage_data
Senegal,2003,12.68,garbage_data
Brazil,2002,5.83,garbage_data
Germany,2001,15.54,garbage_data
Senegal,2000,6.8,garbage_data
Germany,1999,1.04,garbage_data
Germany,1998,34.96,garbage_data
Japan,1997,19.08,garbage_data
Senegal,1996,8.92,garbage_data
Canada,1995,4.55,garbage_data
Brazil,1994,-9.19,garbage_data
Japan,1993,22.02,garbage_data
Senegal,1992,-9.25,garbage_data
Japan,1991,-5.43,garbage_data
Germany,1990,31.02,garbage_data
Senegal,1989,40.16,garbage_data
Germany,1988,41.09,garbage_data
Senegal,1987,15.79,garbage_data
Germany,1986,35.51,garbage_data
Senegal,1985,29.19,garbage_data
Brazil,1984,-7.16,garbage_data
Canada,1983,25.33,garbage_data
Senegal,1982,28.5,garbage_data
Germany,1981,44.89,garbage_data
Brazil,1980,21.61,garbage_data
Japan,1979,-3.83,garbage_data
Senegal,1978,1.47,garbage_data
Brazil,1977,-4.03,garbage_data
Germany,2026,3.39,garbage_data
Canada,2025,18.99,garbage_data
Brazil,2024,-9.91,garbage_data
Brazil,2023,30.15,garbage_data
Brazil,2022,17.32,garbage_data
Japan,2021,16.33,garbage_data
Germany,2020,41.91,garbage_data
Germany,2019,-2.67,garbage_data
Senegal,2018,14.7,garbage_data
Senegal,2017,5.47,garbage_data
Japan,2016,33.71,garbage_data
Japan,2015,36.98,garbage_data
Senegal,2014,25.34,garbage_data
Canada,2013,38.93,garbage_data
Japan,2012,7.0,garbage_data
Germany,2011,14.4,garbage_data
Canada,2010,25.23,garbage_data
Senegal,2009,-6.31,garbage_data
Brazil,2008,-5.15,garbage_data
Japan,2007,0.08,garbage_data
Brazil,2006,-6.6,garbage_data
Brazil,2005,34.61,garbage_data
Canada,2004,41.35,garbage_data
Japan,2003,0.72,garbage_data
Canada,2002,25.48,garbage_data
Canada,2001,24.85,garbage_data
Germany,2000,8.43,garbage_data
Senegal,1999,37.37,garbage_data
Japan,1998,44.14,garbage_data
Canada,1997,25.62,garbage_data
Canada,1996,43.62,garbage_data
Brazil,1995,23.12,garbage_data
Japan,1994,38.81,garbage_data
Brazil,1993,2.57,garbage_data
Brazil,1992,21.32,garbage_data
Senegal,1991,26.12,garbage_data
Brazil,1990,-3.39,garbage_data
Brazil,1989,-9.27,garbage_data
Brazil,1988,6.44,garbage_data
Canada,1987,6.95,garbage_data
Senegal,1986,11.02,garbage_data
Senegal,1985,27.48,garbage_data
Canada,1984,8.99,garbage_data
Canada,1983,4.64,garbage_data
Senegal,1982,-2.04,garbage_data
Germany,1981,24.07,garbage_data
Canada,1980,13.19,garbage_data
Canada,1979,28.76,garbage_data
Japan,1978,23.42,garbage_data
Canada,1977,9.48,garbage_data
Brazil,2026,-1.8,garbage_data
Brazil,2025,-5.34,garbage_data
Senegal,2024,20.6,garbage_data
Canada,2023,2.79,garbage_data
